"","parameter","date","stream","priorMean","priorSD","postL95","postMedian","postU95","julian"
"880","DOgw",2017-07-24,"st6",7.37873496,2.951493984,3.968534863,7.444133162,10.99643908,205
"881","DOgw",2017-07-25,"st6",7.360191941,2.944076776,4.184344851,7.669649984,11.12850487,206
"882","DOgw",2017-07-26,"st6",7.189476521,2.875790608,3.734824962,7.0120307,10.50278698,207
"883","DOgw",2017-07-27,"st6",7.126412632,2.850565053,3.607944102,7.340452558,10.73618868,208
"884","DOgw",2017-07-28,"st6",7.178000621,2.871200248,3.360886469,7.021786923,10.65127983,209
"885","DOgw",2017-07-29,"st6",7.207801528,2.883120611,3.629862027,7.159633613,10.64148551,210
"886","DOgw",2017-07-30,"st6",7.211615225,2.88464609,3.316022663,7.399703208,11.33877963,211
"887","DOgw",2017-07-31,"st6",7.236257655,2.894503062,3.183260717,7.419997413,11.52721215,212
"888","DOgw",2017-08-01,"st6",7.271629564,2.908651825,2.996163535,7.287471653,11.45274424,213
"889","DOgw",2017-08-02,"st6",7.255919077,2.902367631,3.556567131,7.449297892,11.18704462,214
"890","DOgw",2017-08-03,"st6",7.250300256,2.900120102,3.44521863,7.300121793,11.20226642,215
"891","DOgw",2017-08-04,"st6",7.236316963,2.894526785,2.97064239,7.236846144,11.5650392,216
"892","DOgw",2017-08-05,"st6",7.229091105,2.891636442,3.952017622,7.673335452,11.84855141,217
"893","DOgw",2017-08-06,"st6",7.25923562,2.903694248,3.251287367,7.570004986,11.84617843,218
"894","DOgw",2017-08-07,"st6",7.281848802,2.912739521,3.248922172,7.334018994,11.36756167,219
"895","DOgw",2017-08-08,"st6",7.401000226,2.96040009,2.647364233,7.202483336,11.48556811,220
"896","DOgw",2017-08-09,"st6",7.331053656,2.932421462,2.948321181,7.500428688,12.09384975,221
"897","ER",2015-07-02,"st11U",-2.399652441,0.59991311,-3.512348365,-2.338078009,-1.217831563,183
"898","ER",2015-07-03,"st11U",-2.08081138,0.520202845,-2.98316303,-2.076236944,-1.055890297,184
"899","ER",2015-07-04,"st11U",-2.170350015,0.542587504,-3.250693807,-2.142874745,-1.071322699,185
"900","ER",2015-07-05,"st11U",-2.123271003,0.530817751,-3.168424494,-2.159713738,-1.085016421,186
"901","ER",2015-07-06,"st11U",-1.67304577,0.418261442,-2.541991604,-1.727977877,-0.93247623,187
"902","ER",2015-07-07,"st11U",-1.996459946,0.499114987,-2.945095811,-1.968666048,-0.999946899,188
"903","ER",2015-07-08,"st11U",-1.983451448,0.495862862,-2.941239379,-2.025851332,-1.103660543,189
"904","ER",2015-07-09,"st11U",-1.612421435,0.403105359,-2.435169429,-1.6338902,-0.874020293,190
"905","ER",2015-07-10,"st11U",-2.117045725,0.529261431,-3.090790206,-2.085889564,-1.081039762,191
"906","ER",2015-07-11,"st11U",-1.632031646,0.408007911,-2.363776634,-1.616440913,-0.835299948,192
"907","ER",2015-07-12,"st11U",-1.596820279,0.39920507,-2.40080783,-1.604508914,-0.796254798,193
"908","ER",2015-07-14,"st11U",-1.769253999,0.4423135,-2.697121111,-1.76614083,-0.941479654,195
"909","ER",2015-07-15,"st11U",-1.761955135,0.440488784,-2.649522958,-1.737654362,-0.905913103,196
"910","ER",2015-07-16,"st11U",-1.997336118,0.499334029,-3.00099134,-2.028790628,-0.997636815,197
"911","ER",2015-07-17,"st11U",-1.814668757,0.453667189,-2.656665626,-1.819873263,-0.902027159,198
"912","ER",2015-07-18,"st11U",-1.898466448,0.474616612,-2.736675,-1.853470294,-0.901431709,199
"913","ER",2015-07-19,"st11U",-1.395231241,0.34880781,-2.079271969,-1.423260256,-0.784513738,200
"914","ER",2015-07-20,"st11U",-1.589905476,0.397476369,-2.351905086,-1.598623661,-0.805401732,201
"915","ER",2015-07-21,"st11U",-1.85962943,0.464907357,-2.832016754,-1.898830017,-0.985006264,202
"916","ER",2015-07-22,"st11U",-1.947048635,0.486762159,-2.896918068,-1.886051737,-0.970149924,203
"917","ER",2015-07-23,"st11U",-2.236396299,0.559099075,-3.401655836,-2.228173535,-1.188492252,204
"918","ER",2015-07-24,"st11U",-2.735651033,0.683912758,-3.999142943,-2.668839229,-1.255442045,205
"919","ER",2015-07-25,"st11U",-2.322865092,0.580716273,-3.387753207,-2.354733812,-1.299319065,206
"920","ER",2015-07-27,"st11U",-2.167721249,0.541930312,-3.280971101,-2.261890849,-1.281491613,208
"921","ER",2015-07-28,"st11U",-2.389779022,0.597444755,-3.606327335,-2.396317299,-1.190444667,209
"922","ER",2015-07-29,"st11U",-2.484527236,0.621131809,-3.605923067,-2.433542042,-1.197751545,210
"923","ER",2015-07-30,"st11U",-2.302890703,0.575722676,-3.388277539,-2.317123802,-1.185366901,211
"924","ER",2015-07-31,"st11U",-2.062483975,0.515620994,-3.074975193,-2.086077231,-1.059888701,212
"925","ER",2015-08-01,"st11U",-2.004833912,0.501208478,-2.975522886,-2.003102231,-0.997667047,213
"926","ER",2015-08-02,"st11U",-2.174618648,0.543654662,-3.187715021,-2.135323784,-1.075832848,214
"927","ER",2015-08-03,"st11U",-2.394898455,0.598724614,-3.610230186,-2.437542155,-1.209059604,215
"928","ER",2015-08-04,"st11U",-2.481379828,0.620344957,-3.587588832,-2.474794736,-1.207102515,216
"929","ER",2015-08-05,"st11U",-2.512864674,0.628216168,-3.892488027,-2.500549251,-1.315929096,217
"930","ER",2015-08-06,"st11U",-2.588426851,0.647106713,-3.762157457,-2.586373542,-1.216143636,218
"931","ER",2015-08-07,"st11U",-2.62646421,0.656616052,-3.763731272,-2.610328008,-1.391054966,219
"932","ER",2015-08-08,"st11U",-2.669561098,0.667390275,-3.85411116,-2.655138121,-1.427984164,220
"933","ER",2015-08-09,"st11U",-1.919513237,0.479878309,-2.941591723,-2.004484859,-1.104415923,221
"934","ER",2016-07-01,"st11U",-13.05568931,3.263922327,-18.89097114,-12.89628511,-7.006382125,183
"935","ER",2016-07-02,"st11U",-12.73631704,3.184079259,-18.799666,-12.85856907,-7.162812198,184
"936","ER",2016-07-03,"st11U",-11.97584781,2.993961953,-17.75872582,-11.65059205,-6.135998258,185
"937","ER",2016-07-04,"st11U",-11.88196736,2.97049184,-17.45856495,-11.50695526,-6.273613854,186
"938","ER",2016-07-05,"st11U",-11.47358057,2.868395142,-16.8485959,-11.50992169,-5.582133703,187
"939","ER",2016-07-06,"st11U",-11.03877721,2.759694303,-15.96608336,-11.30219475,-6.256909981,188
"940","ER",2016-07-07,"st11U",-11.02265952,2.755664879,-15.79804524,-10.87620053,-5.872440771,189
"941","ER",2016-07-08,"st11U",-11.35628659,2.839071647,-16.2747822,-11.29122267,-6.584773872,190
"942","ER",2016-07-09,"st11U",-10.55705286,2.639263214,-15.44751357,-10.75186481,-5.974565489,191
"943","ER",2016-07-10,"st11U",-10.03687106,2.509217765,-14.40910831,-9.76784469,-5.37082834,192
"944","ER",2016-07-11,"st11U",-9.498238355,2.374559589,-13.82364761,-9.325299464,-4.714997445,193
"945","ER",2016-07-12,"st11U",-9.73158851,2.432897128,-14.1878868,-9.749290167,-5.622090957,194
"946","ER",2016-07-13,"st11U",-9.969040773,2.492260193,-14.02736035,-10.09140452,-5.75902002,195
"947","ER",2016-07-14,"st11U",-9.815506431,2.453876608,-14.4631409,-10.12040733,-5.415825764,196
"948","ER",2016-07-15,"st11U",-9.478310892,2.369577723,-13.74656819,-9.513570062,-5.345908935,197
"949","ER",2016-07-16,"st11U",-9.439875654,2.359968914,-13.59206304,-9.512807708,-5.396339994,198
"950","ER",2016-07-17,"st11U",-9.671999559,2.41799989,-13.82047465,-9.473961986,-5.235047134,199
"951","ER",2016-07-18,"st11U",-9.840328298,2.460082074,-14.41218891,-9.815538822,-5.554966861,200
"952","ER",2016-07-19,"st11U",-9.981148305,2.495287076,-14.20888344,-9.920630744,-5.765326904,201
"953","ER",2016-07-20,"st11U",-10.41925717,2.604814291,-14.9833097,-10.11804231,-5.530239887,202
"954","ER",2016-07-21,"st11U",-10.6075679,2.651891976,-15.13439088,-10.64673936,-5.925465284,203
"955","ER",2016-07-22,"st11U",-10.75558868,2.68889717,-15.88919798,-10.78286546,-5.614702666,204
"956","ER",2016-07-23,"st11U",-10.59414024,2.648535061,-14.97646263,-10.23264806,-5.866283471,205
"957","ER",2016-07-24,"st11U",-10.38210457,2.595526142,-14.86374129,-10.3181905,-5.782472989,206
"958","ER",2016-07-25,"st11U",-10.34117777,2.585294444,-15.02637661,-10.41434919,-5.936749443,207
"959","ER",2016-07-26,"st11U",-10.75534165,2.688835413,-15.41154503,-10.80517738,-6.065971625,208
"960","ER",2016-07-27,"st11U",-10.89580589,2.723951473,-15.47842671,-10.5798081,-5.82028278,209
"961","ER",2016-07-28,"st11U",-11.40337181,2.850842953,-16.1049781,-11.26756981,-6.701488344,210
"962","ER",2016-07-29,"st11U",-11.11957341,2.779893353,-15.52215002,-10.97449711,-6.200961103,211
"963","ER",2016-07-30,"st11U",-10.77021438,2.692553596,-15.07221299,-10.56063978,-6.296311922,212
"964","ER",2016-07-31,"st11U",-10.84133987,2.710334968,-15.2220046,-10.68954253,-6.271247715,213
"965","ER",2017-07-02,"st11U",-10.36466909,2.591167272,-15.21953254,-10.69162128,-5.61811565,183
"966","ER",2017-07-03,"st11U",-10.37490417,2.593726044,-14.99431375,-10.39708007,-5.638319263,184
"967","ER",2017-07-04,"st11U",-10.15755616,2.539389039,-14.89931667,-10.18917849,-5.713099361,185
"968","ER",2017-07-05,"st11U",-9.826594066,2.456648516,-14.42729743,-9.887810761,-5.358729599,186
"969","ER",2017-07-06,"st11U",-8.588152715,2.147038179,-12.55687137,-8.225851264,-4.197007502,187
"970","ER",2017-07-07,"st11U",-10.72985648,2.682464121,-15.63001807,-10.62276445,-5.587497877,188
"971","ER",2017-07-08,"st11U",-11.69322884,2.923307209,-16.87386613,-11.61770266,-6.53635698,189
"972","ER",2017-07-11,"st11U",-9.945844865,2.486461216,-14.37135719,-10.00816392,-5.682117084,192
"973","ER",2017-07-12,"st11U",-10.21573813,2.553934533,-15.35760377,-10.57514375,-5.543951954,193
"974","ER",2017-07-13,"st11U",-10.95936462,2.739841155,-16.21352484,-10.83164337,-5.744839132,194
"975","ER",2017-07-16,"st11U",-9.291839904,2.322959976,-13.79423318,-9.573257238,-4.863664706,197
"976","ER",2017-07-17,"st11U",-10.16608437,2.541521092,-15.26357034,-10.04856744,-4.976760739,198
"977","ER",2017-07-21,"st11U",-10.98798022,2.746995055,-16.61707866,-11.05152436,-5.991051719,202
"978","ER",2017-07-22,"st11U",-10.7116968,2.6779242,-15.68628498,-10.62019656,-5.388946973,203
"979","ER",2017-07-23,"st11U",-10.68026393,2.670065982,-15.98462558,-10.7567896,-5.87609394,204
"980","ER",2017-07-24,"st11U",-11.64356865,2.910892163,-17.50747243,-12.052966,-6.374324063,205
"981","ER",2017-07-25,"st11U",-11.41421968,2.85355492,-16.73955421,-11.27530051,-6.0430717,206
"982","ER",2017-07-26,"st11U",-11.53307916,2.88326979,-16.92909513,-11.35766578,-6.14312105,207
"983","ER",2017-07-27,"st11U",-12.99106407,3.247766017,-18.2912527,-12.64847141,-6.723427561,208
"984","ER",2017-07-28,"st11U",-13.93536897,3.483842243,-19.64837614,-13.63232599,-6.423606071,209
"985","ER",2017-07-29,"st11U",-13.90131687,3.475329218,-21.13429929,-14.25713691,-7.458268633,210
"986","ER",2017-07-30,"st11U",-14.69964453,3.674911132,-21.33601292,-14.87233322,-8.392239138,211
"987","ER",2017-07-31,"st11U",-15.0145309,3.753632726,-21.35861044,-14.87175969,-8.19325306,212
"988","ER",2017-08-01,"st11U",-14.87526267,3.718815668,-21.47076524,-14.60419393,-7.570364464,213
"989","ER",2017-08-02,"st11U",-14.74721229,3.686803073,-21.84860901,-15.2369639,-8.059533434,214
"990","ER",2017-08-03,"st11U",-14.90958233,3.727395581,-21.3220857,-14.48540947,-7.782780243,215
"991","ER",2017-08-04,"st11U",-16.17972754,4.044931886,-23.90701882,-16.36208795,-8.50806281,216
"992","ER",2017-08-05,"st11U",-16.49041941,4.122604853,-24.03694691,-16.43296285,-9.383220269,217
"993","ER",2017-08-06,"st11U",-17.31720037,4.329300092,-24.6262993,-16.84291178,-9.646534728,218
"994","ER",2017-08-07,"st11U",-16.07297547,4.018243867,-23.11888962,-16.10295407,-8.605052704,219
"995","ER",2017-08-09,"st11U",-15.99716737,3.999291842,-23.61910206,-16.00026856,-8.741436544,221
"996","ER",2015-07-02,"st18",-0.814421365,0.203605341,-1.203807099,-0.810621561,-0.404672224,183
"997","ER",2015-07-03,"st18",-0.896287678,0.22407192,-1.375857159,-0.933905528,-0.476332449,184
"998","ER",2015-07-04,"st18",-1.028406191,0.257101548,-1.532182067,-0.977387551,-0.508758651,185
"999","ER",2015-07-05,"st18",-0.698281234,0.174570309,-1.055901,-0.701947459,-0.348252661,186
"1000","ER",2015-07-06,"st18",-0.58300305,0.145750763,-0.889653924,-0.587449785,-0.309851185,187
"1001","ER",2015-07-07,"st18",-1.135168354,0.283792089,-1.7417007,-1.156642711,-0.638656384,188
"1002","ER",2015-07-08,"st18",-1.230469471,0.307617368,-1.898929803,-1.274615142,-0.693712917,189
"1003","ER",2015-07-09,"st18",-1.035018595,0.258754649,-1.561364495,-1.030735506,-0.504776488,190
"1004","ER",2015-07-10,"st18",-1.255075017,0.313768754,-1.888298527,-1.260903575,-0.690394684,191
"1005","ER",2015-07-11,"st18",-1.073534307,0.268383577,-1.624778283,-1.094817672,-0.558901185,192
"1006","ER",2015-07-12,"st18",-1.279542149,0.319885537,-1.854122171,-1.257503517,-0.62025465,193
"1007","ER",2015-07-13,"st18",-1.894413345,0.473603336,-2.802219678,-1.863967008,-0.988301381,194
"1008","ER",2015-07-14,"st18",-2.520025217,0.630006304,-3.81007499,-2.632493264,-1.356069357,195
"1009","ER",2015-07-15,"st18",-1.734415919,0.43360398,-2.597815854,-1.757612412,-0.904388878,196
"1010","ER",2015-07-16,"st18",-1.647679049,0.411919762,-2.44295593,-1.660540734,-0.847294198,197
"1011","ER",2015-07-17,"st18",-1.722793564,0.430698391,-2.568425898,-1.725630744,-0.827335106,198
"1012","ER",2015-07-18,"st18",-1.523283499,0.380820875,-2.307177503,-1.545157676,-0.767938898,199
"1013","ER",2015-07-19,"st18",-1.400396293,0.350099073,-2.090875408,-1.427943909,-0.697238592,200
"1014","ER",2015-07-20,"st18",-1.331905651,0.332976413,-1.972955506,-1.352521644,-0.674154331,201
"1015","ER",2015-07-21,"st18",-1.474541161,0.36863529,-2.162066572,-1.433886034,-0.757382758,202
"1016","ER",2015-07-22,"st18",-1.467981996,0.366995499,-2.187611857,-1.49654474,-0.810480482,203
"1017","ER",2015-07-23,"st18",-2.2675711,0.566892775,-3.320863907,-2.255731399,-1.181255849,204
"1018","ER",2015-07-24,"st18",-2.459626547,0.614906637,-3.733375181,-2.41900727,-1.288675078,205
"1019","ER",2015-07-25,"st18",-2.400623106,0.600155776,-3.636011003,-2.425807586,-1.189844833,206
"1020","ER",2015-07-26,"st18",-3.173760407,0.793440102,-4.785306249,-3.160085668,-1.66797088,207
"1021","ER",2015-07-27,"st18",-2.91457781,0.728644453,-4.378357177,-2.941513744,-1.486515704,208
"1022","ER",2015-07-28,"st18",-3.554506628,0.888626657,-5.140432242,-3.559162717,-1.932489175,209
"1023","ER",2015-07-29,"st18",-4.070252959,1.01756324,-5.851945231,-4.025319377,-2.178888991,210
"1024","ER",2015-07-30,"st18",-3.188552548,0.797138137,-4.780277304,-3.252981923,-1.77802443,211
"1025","ER",2015-07-31,"st18",-2.260416492,0.565104123,-3.346684893,-2.252142319,-1.187640327,212
"1026","ER",2015-08-01,"st18",-2.433442556,0.608360639,-3.516570683,-2.407039472,-1.2334022,213
"1027","ER",2015-08-02,"st18",-2.658812194,0.664703049,-3.854138609,-2.647294454,-1.466681185,214
"1028","ER",2015-08-03,"st18",-2.403531467,0.600882867,-3.414961945,-2.301528748,-1.2156099,215
"1029","ER",2015-08-04,"st18",-1.777261879,0.44431547,-2.697303099,-1.815868365,-0.935090247,216
"1030","ER",2015-08-05,"st18",-2.163114162,0.54077854,-3.162360934,-2.100229758,-1.150439455,217
"1031","ER",2015-08-06,"st18",-3.042266989,0.760566747,-4.44583138,-2.909323092,-1.443384799,218
"1032","ER",2015-08-07,"st18",-3.634914845,0.908728711,-5.319309821,-3.575859207,-1.911275744,219
"1033","ER",2015-08-08,"st18",-3.432274299,0.858068575,-4.97841747,-3.435588895,-1.787808154,220
"1034","ER",2015-08-09,"st18",-2.749987585,0.687496896,-4.129796309,-2.758473148,-1.427392424,221
"1035","ER",2016-07-01,"st18",-1.180617427,0.295154357,-1.711371631,-1.159150413,-0.61262175,183
"1036","ER",2016-07-02,"st18",-0.840969134,0.210242284,-1.274559399,-0.857092955,-0.437631722,184
"1037","ER",2016-07-03,"st18",-0.203684497,0.050921124,-0.301114627,-0.205108022,-0.106299671,185
"1038","ER",2016-07-04,"st18",-0.446757063,0.111689266,-0.666250379,-0.440259042,-0.223794962,186
"1039","ER",2016-07-05,"st18",-0.913422147,0.228355537,-1.332509883,-0.896018515,-0.478754671,187
"1040","ER",2016-07-06,"st18",-1.127521915,0.281880479,-1.630435061,-1.128531202,-0.587875707,188
"1041","ER",2016-07-07,"st18",-1.585144277,0.396286069,-2.295268015,-1.578357482,-0.838132363,189
"1042","ER",2016-07-08,"st18",-1.616788535,0.404197134,-2.38868795,-1.663244258,-0.786602079,190
"1043","ER",2016-07-09,"st18",-1.466998398,0.366749599,-2.173897171,-1.507277753,-0.760167171,191
"1044","ER",2016-07-10,"st18",-2.272388355,0.568097089,-3.389048157,-2.22430935,-1.143572567,192
"1045","ER",2016-07-11,"st18",-2.788385435,0.697096359,-4.098021064,-2.757686908,-1.363079025,193
"1046","ER",2016-07-12,"st18",-2.256534869,0.564133717,-3.358371069,-2.280506309,-1.111448386,194
"1047","ER",2016-07-13,"st18",-2.426714224,0.606678556,-3.657744633,-2.36982779,-1.221547671,195
"1048","ER",2016-07-14,"st18",-3.04473481,0.761183703,-4.625347156,-3.026315191,-1.549608481,196
"1049","ER",2016-07-15,"st18",-3.208849523,0.802212381,-4.744180014,-3.217503286,-1.642734196,197
"1050","ER",2016-07-16,"st18",-2.485729967,0.621432492,-3.756753906,-2.52353184,-1.418235762,198
"1051","ER",2016-07-17,"st18",-2.754220369,0.688555092,-4.217446705,-2.775751084,-1.475655024,199
"1052","ER",2016-07-18,"st18",-2.693259502,0.673314875,-4.081642382,-2.668768464,-1.321997012,200
"1053","ER",2016-07-19,"st18",-3.249026605,0.812256651,-4.767592515,-3.203504791,-1.626089654,201
"1054","ER",2016-07-20,"st18",-3.512890803,0.878222701,-5.215035462,-3.434925908,-1.753389543,202
"1055","ER",2016-07-21,"st18",-4.177898063,1.044474516,-5.939844399,-4.083147824,-2.178157041,203
"1056","ER",2016-07-22,"st18",-3.771889292,0.942972323,-5.570044541,-3.795651249,-1.823140325,204
"1057","ER",2016-07-23,"st18",-3.72812624,0.93203156,-5.47238312,-3.768493161,-2.002567382,205
"1058","ER",2016-07-24,"st18",-3.821856241,0.95546406,-5.663378595,-3.883765513,-1.974856898,206
"1059","ER",2016-07-25,"st18",-4.346402253,1.086600563,-6.431699766,-4.454371073,-2.248181156,207
"1060","ER",2016-07-26,"st18",-3.450967959,0.86274199,-5.238342807,-3.487291421,-1.821836032,208
"1061","ER",2016-07-27,"st18",-3.60783597,0.901958993,-5.37442544,-3.628365351,-1.897404524,209
"1062","ER",2016-07-28,"st18",-3.856610522,0.96415263,-5.730435754,-3.810577889,-1.974327021,210
"1063","ER",2016-07-29,"st18",-3.212231476,0.803057869,-4.828741696,-3.287835081,-1.677273781,211
"1064","ER",2016-07-30,"st18",-3.13529655,0.783824137,-4.684763553,-3.110202241,-1.584550022,212
"1065","ER",2016-07-31,"st18",-3.352717687,0.838179422,-4.925362247,-3.396450448,-1.823482402,213
"1066","ER",2016-08-01,"st18",-3.73979063,0.934947658,-5.500207801,-3.786461814,-2.006222406,214
"1067","ER",2016-08-02,"st18",-3.61174509,0.902936273,-5.34866394,-3.637858919,-2.008637455,215
"1068","ER",2016-08-03,"st18",-3.704023359,0.92600584,-5.444303833,-3.775937914,-1.998758763,216
"1069","ER",2016-08-04,"st18",-4.036572705,1.009143176,-6.040370668,-4.089901166,-2.233829574,217
"1070","ER",2016-08-05,"st18",-5.610182997,1.402545749,-8.122421221,-5.473912702,-2.740306243,218
"1071","ER",2016-08-06,"st18",-6.397404636,1.599351159,-9.192779271,-6.323817373,-3.481027426,219
"1072","ER",2016-08-07,"st18",-7.639689571,1.909922393,-10.82017422,-7.422999614,-4.088248195,220
"1073","ER",2016-08-08,"st18",-8.706852729,2.176713182,-12.8230084,-8.712781951,-4.456952913,221
"1074","ER",2016-08-09,"st18",-8.542561815,2.135640454,-12.26265557,-8.50755935,-4.640132473,222
"1075","ER",2016-08-10,"st18",-7.676264514,1.919066129,-10.87904574,-7.401936338,-3.967132908,223
"1076","ER",2016-08-11,"st18",-7.326412567,1.831603142,-10.81524125,-7.367993184,-3.785467163,224
"1077","ER",2016-08-12,"st18",-10.26816508,2.567041271,-14.67352102,-9.925410683,-5.427196812,225
"1078","ER",2017-07-02,"st18",-10.48617546,2.621543864,-15.2134465,-10.47051824,-5.781770747,183
"1079","ER",2017-07-03,"st18",-10.4384361,2.609609024,-15.55644543,-10.68852216,-5.824364081,184
"1080","ER",2017-07-04,"st18",-10.3406984,2.585174599,-14.88044655,-10.20134194,-5.919751922,185
